source_image,group,n_patches
2_4_NORPSIHARMIN_9_Multichannel Z-Stack_20251030_94.npy,Norpsilocin + harmine,324
2_4_NORPSI_10_Multichannel Z-Stack_20251030_85.npy,Norpsilocin,324
2_4_NORPSI_1_Multichannel Z-Stack_20251030_76.npy,Norpsilocin,324
2_4_NORPSI_2_Multichannel Z-Stack_20251030_77.npy,Norpsilocin,324
2_4_NORPSI_3_Multichannel Z-Stack_20251030_78.npy,Norpsilocin,324
2_4_NORPSI_4_Multichannel Z-Stack_20251030_79.npy,Norpsilocin,324
2_4_NORPSI_5_Multichannel Z-Stack_20251030_80.npy,Norpsilocin,324
2_4_NORPSI_6_Multichannel Z-Stack_20251030_81.npy,Norpsilocin,324
2_4_NORPSI_7_Multichannel Z-Stack_20251030_82.npy,Norpsilocin,324
2_4_NORPSI_8_Multichannel Z-Stack_20251030_83.npy,Norpsilocin,324
2_4_NORPSI_9_Multichannel Z-Stack_20251030_84.npy,Norpsilocin,324
2_5_BAEOHARMIN_10_Multichannel Z-Stack_20251030_117.npy,Baeocystin + harmine,324
2_5_BAEOHARMIN_1_Multichannel Z-Stack_20251030_107.npy,Baeocystin + harmine,324
2_5_BAEOHARMIN_1_Multichannel Z-Stack_20251030_108.npy,Baeocystin + harmine,324
2_5_BAEOHARMIN_2_Multichannel Z-Stack_20251030_109.npy,Baeocystin + harmine,324
2_5_BAEOHARMIN_3_Multichannel Z-Stack_20251030_110.npy,Baeocystin + harmine,324
2_5_BAEOHARMIN_4_Multichannel Z-Stack_20251030_111.npy,Baeocystin + harmine,324
2_5_BAEOHARMIN_5_Multichannel Z-Stack_20251030_112.npy,Baeocystin + harmine,324
2_5_BAEOHARMIN_6_Multichannel Z-Stack_20251030_113.npy,Baeocystin + harmine,324
2_5_BAEOHARMIN_7_Multichannel Z-Stack_20251030_114.npy,Baeocystin + harmine,324
2_5_BAEOHARMIN_8_Multichannel Z-Stack_20251030_115.npy,Baeocystin + harmine,324
2_5_BAEOHARMIN_9_Multichannel Z-Stack_20251030_116.npy,Baeocystin + harmine,324
2_5_BAEO_10_Multichannel Z-Stack_20251030_106.npy,Baeocystin,324
2_5_BAEO_1_Multichannel Z-Stack_20251030_96.npy,Baeocystin,324
2_5_BAEO_1_Multichannel Z-Stack_20251030_97.npy,Baeocystin,324
2_5_BAEO_3_Multichannel Z-Stack_20251030_98.npy,Baeocystin,324
2_5_BAEO_4_Multichannel Z-Stack_20251030_99.npy,Baeocystin,324
2_5_BAEO_5_Multichannel Z-Stack_20251030_100.npy,Baeocystin,324
2_5_BAEO_5_Multichannel Z-Stack_20251030_101.npy,Baeocystin,324
2_5_BAEO_6_Multichannel Z-Stack_20251030_102.npy,Baeocystin,324
2_5_BAEO_6_Multichannel Z-Stack_20251030_103.npy,Baeocystin,324
2_5_BAEO_8_Multichannel Z-Stack_20251030_104.npy,Baeocystin,324
2_5_BAEO_9_Multichannel Z-Stack_20251030_105.npy,Baeocystin,324
2_6_NORBAEOHARMIN_10_Multichannel Z-Stack_20251104_219.npy,Norbaeocystin + harmine,324
2_6_NORBAEOHARMIN_1_Multichannel Z-Stack_20251104_210.npy,Norbaeocystin + harmine,324
2_6_NORBAEOHARMIN_2_Multichannel Z-Stack_20251104_211.npy,Norbaeocystin + harmine,324
2_6_NORBAEOHARMIN_3_Multichannel Z-Stack_20251104_212.npy,Norbaeocystin + harmine,324
2_6_NORBAEOHARMIN_4_Multichannel Z-Stack_20251104_213.npy,Norbaeocystin + harmine,324
2_6_NORBAEOHARMIN_5_Multichannel Z-Stack_20251104_214.npy,Norbaeocystin + harmine,324
2_6_NORBAEOHARMIN_6_Multichannel Z-Stack_20251104_215.npy,Norbaeocystin + harmine,324
2_6_NORBAEOHARMIN_7_Multichannel Z-Stack_20251104_216.npy,Norbaeocystin + harmine,324
2_6_NORBAEOHARMIN_8_Multichannel Z-Stack_20251104_217.npy,Norbaeocystin + harmine,324
2_6_NORBAEOHARMIN_9_Multichannel Z-Stack_20251104_218.npy,Norbaeocystin + harmine,324
2_6_NORBAEO_10_Multichannel Z-Stack_20251104_209.npy,Norbaeocystin,324
2_6_NORBAEO_1_Multichannel Z-Stack_20251104_199.npy,Norbaeocystin,324
2_6_NORBAEO_2_Multichannel Z-Stack_20251104_200.npy,Norbaeocystin,324
2_6_NORBAEO_3_Multichannel Z-Stack_20251104_201.npy,Norbaeocystin,324
2_6_NORBAEO_4A_Multichannel Z-Stack_20251104_203.npy,Norbaeocystin,324
2_6_NORBAEO_4_Multichannel Z-Stack_20251104_202.npy,Norbaeocystin,324
2_6_NORBAEO_5_Multichannel Z-Stack_20251104_204.npy,Norbaeocystin,324
2_6_NORBAEO_6_Multichannel Z-Stack_20251104_205.npy,Norbaeocystin,324
2_6_NORBAEO_7_Multichannel Z-Stack_20251104_206.npy,Norbaeocystin,324
2_6_NORBAEO_8_Multichannel Z-Stack_20251104_207.npy,Norbaeocystin,324
2_6_NORBAEO_9_Multichannel Z-Stack_20251104_208.npy,Norbaeocystin,324
2_6_NORBAEO_HARMIN_1_Multichannel Z-Stack_20251104_197.npy,Norbaeocystin + harmine,324
2_6_NORBAEO_HARMIN_1a_Multichannel Z-Stack_20251104_198.npy,Norbaeocystin + harmine,324
2_8_KONTROLAA_10_Multichannel Z-Stack_20251104_196.npy,Control,324
2_8_KONTROLAA_1_Multichannel Z-Stack_20251104_187.npy,Control,324
2_8_KONTROLAA_2_Multichannel Z-Stack_20251104_188.npy,Control,324
2_8_KONTROLAA_3_Multichannel Z-Stack_20251104_189.npy,Control,324
2_8_KONTROLAA_4_Multichannel Z-Stack_20251104_190.npy,Control,324
2_8_KONTROLAA_5_Multichannel Z-Stack_20251104_191.npy,Control,324
2_8_KONTROLAA_6_Multichannel Z-Stack_20251104_192.npy,Control,324
2_8_KONTROLAA_7_Multichannel Z-Stack_20251104_193.npy,Control,324
2_8_KONTROLAA_8_Multichannel Z-Stack_20251104_194.npy,Control,324
2_8_KONTROLAA_9_Multichannel Z-Stack_20251104_195.npy,Control,324
2_8_LITHIUM_10_Multichannel Z-Stack_20251017_50.npy,Lithium,324
2_8_LITHIUM_1_Multichannel Z-Stack_20251017_41.npy,Lithium,324
2_8_LITHIUM_2_Multichannel Z-Stack_20251017_42.npy,Lithium,324
2_8_LITHIUM_3_Multichannel Z-Stack_20251017_43.npy,Lithium,324
2_8_LITHIUM_4_Multichannel Z-Stack_20251017_44.npy,Lithium,324
2_8_LITHIUM_5_Multichannel Z-Stack_20251017_45.npy,Lithium,324
2_8_LITHIUM_6_Multichannel Z-Stack_20251017_46.npy,Lithium,324
2_8_LITHIUM_7_Multichannel Z-Stack_20251017_47.npy,Lithium,324
2_8_LITHIUM_8_Multichannel Z-Stack_20251017_48.npy,Lithium,324
2_8_LITHIUM_9_Multichannel Z-Stack_20251017_49.npy,Lithium,324
3_1_KONTROLA_10_Multichannel Z-Stack_20251104_128.npy,Control,324
3_1_KONTROLA_1_Multichannel Z-Stack_20251104_119.npy,Control,324
3_1_KONTROLA_2_Multichannel Z-Stack_20251104_120.npy,Control,324
3_1_KONTROLA_3_Multichannel Z-Stack_20251104_121.npy,Control,324
3_1_KONTROLA_4_Multichannel Z-Stack_20251104_122.npy,Control,324
3_1_KONTROLA_5_Multichannel Z-Stack_20251104_123.npy,Control,324
3_1_KONTROLA_6_Multichannel Z-Stack_20251104_124.npy,Control,324
3_1_KONTROLA_7_Multichannel Z-Stack_20251104_125.npy,Control,324
3_1_KONTROLA_8_Multichannel Z-Stack_20251104_126.npy,Control,324
3_1_KONTROLA_9_Multichannel Z-Stack_20251104_127.npy,Control,324
3_1_LITHIUM_10_Multichannel Z-Stack_20251104_139.npy,Lithium,324
3_1_LITHIUM_1_Multichannel Z-Stack_20251104_129.npy,Lithium,324
3_1_LITHIUM_1_Multichannel Z-Stack_20251104_130.npy,Lithium,324
3_1_LITHIUM_2_Multichannel Z-Stack_20251104_131.npy,Lithium,324
3_1_LITHIUM_3_Multichannel Z-Stack_20251104_132.npy,Lithium,324
3_1_LITHIUM_4_Multichannel Z-Stack_20251104_133.npy,Lithium,324
3_1_LITHIUM_5_Multichannel Z-Stack_20251104_134.npy,Lithium,324
3_1_LITHIUM_6_Multichannel Z-Stack_20251104_135.npy,Lithium,324
3_1_LITHIUM_7_Multichannel Z-Stack_20251104_136.npy,Lithium,324
3_1_LITHIUM_8_Multichannel Z-Stack_20251104_137.npy,Lithium,324
3_1_LITHIUM_9_Multichannel Z-Stack_20251104_138.npy,Lithium,324
3_2_PSIHARMIN_10_Multichannel Z-Stack_20251104_165.npy,Psilocin + harmine,324
3_2_PSIHARMIN_1_Multichannel Z-Stack_20251104_154.npy,Psilocin + harmine,324
3_2_PSIHARMIN_2_Multichannel Z-Stack_20251104_155.npy,Psilocin + harmine,324
3_2_PSIHARMIN_3A_Multichannel Z-Stack_20251104_157.npy,Psilocin + harmine,324
3_2_PSIHARMIN_3_Multichannel Z-Stack_20251104_156.npy,Psilocin + harmine,324
3_2_PSIHARMIN_4_Multichannel Z-Stack_20251104_158.npy,Psilocin + harmine,324
3_2_PSIHARMIN_5_Multichannel Z-Stack_20251104_159.npy,Psilocin + harmine,324
3_2_PSIHARMIN_6_Multichannel Z-Stack_20251104_160.npy,Psilocin + harmine,324
3_2_PSIHARMIN_7_Multichannel Z-Stack_20251104_161.npy,Psilocin + harmine,324
3_2_PSIHARMIN_8A_Multichannel Z-Stack_20251104_163.npy,Psilocin + harmine,324
3_2_PSIHARMIN_8_Multichannel Z-Stack_20251104_162.npy,Psilocin + harmine,324
3_2_PSIHARMIN_9_Multichannel Z-Stack_20251104_164.npy,Psilocin + harmine,324
3_2_PSI_10_Multichannel Z-Stack_20251104_153.npy,Psilocin,324
3_2_PSI_1_Multichannel Z-Stack_20251104_140.npy,Psilocin,324
3_2_PSI_2_Multichannel Z-Stack_20251104_141.npy,Psilocin,324
3_2_PSI_3 100MS_Multichannel Z-Stack_20251104_144.npy,Psilocin,324
3_2_PSI_3 AUTOM. EXPOZICE_Multichannel Z-Stack_20251104_142.npy,Psilocin,324
3_2_PSI_3_Multichannel Z-Stack_20251104_143.npy,Psilocin,324
3_2_PSI_4_Multichannel Z-Stack_20251104_145.npy,Psilocin,324
3_2_PSI_4_Multichannel Z-Stack_20251104_146.npy,Psilocin,324
3_2_PSI_5_Multichannel Z-Stack_20251104_147.npy,Psilocin,324
3_2_PSI_6_Multichannel Z-Stack_20251104_148.npy,Psilocin,324
3_2_PSI_7_Multichannel Z-Stack_20251104_149.npy,Psilocin,324
3_2_PSI_8_Multichannel Z-Stack_20251104_150.npy,Psilocin,324
3_2_PSI_8a_Multichannel Z-Stack_20251104_151.npy,Psilocin,324
3_2_PSI_9_Multichannel Z-Stack_20251104_152.npy,Psilocin,324
3_3_PSYHARMIN_10_Multichannel Z-Stack_20251104_186.npy,Psilocybin + harmine,324
3_3_PSYHARMIN_1_Multichannel Z-Stack_20251104_177.npy,Psilocybin + harmine,324
3_3_PSYHARMIN_2_Multichannel Z-Stack_20251104_178.npy,Psilocybin + harmine,324
3_3_PSYHARMIN_3_Multichannel Z-Stack_20251104_179.npy,Psilocybin + harmine,324
3_3_PSYHARMIN_4_Multichannel Z-Stack_20251104_180.npy,Psilocybin + harmine,324
3_3_PSYHARMIN_5_Multichannel Z-Stack_20251104_181.npy,Psilocybin + harmine,324
3_3_PSYHARMIN_6_Multichannel Z-Stack_20251104_182.npy,Psilocybin + harmine,324
3_3_PSYHARMIN_7_Multichannel Z-Stack_20251104_183.npy,Psilocybin + harmine,324
3_3_PSYHARMIN_8_Multichannel Z-Stack_20251104_184.npy,Psilocybin + harmine,324
3_3_PSYHARMIN_9_Multichannel Z-Stack_20251104_185.npy,Psilocybin + harmine,324
3_3_PSY_10_Multichannel Z-Stack_20251104_176.npy,Psilocybin,324
3_3_PSY_1A_Multichannel Z-Stack_20251104_167.npy,Psilocybin,324
3_3_PSY_1_Multichannel Z-Stack_20251104_166.npy,Psilocybin,324
3_3_PSY_2_Multichannel Z-Stack_20251104_168.npy,Psilocybin,324
3_3_PSY_3_Multichannel Z-Stack_20251104_169.npy,Psilocybin,324
3_3_PSY_4_Multichannel Z-Stack_20251104_170.npy,Psilocybin,324
3_3_PSY_5_Multichannel Z-Stack_20251104_171.npy,Psilocybin,324
3_3_PSY_6_Multichannel Z-Stack_20251104_172.npy,Psilocybin,324
3_3_PSY_7_Multichannel Z-Stack_20251104_173.npy,Psilocybin,324
3_3_PSY_8_Multichannel Z-Stack_20251104_174.npy,Psilocybin,324
3_3_PSY_9_Multichannel Z-Stack_20251104_175.npy,Psilocybin,324
5_KONTROLA_10_Multichannel Z-Stack_20251205_128.npy,Control,324
5_KONTROLA_1_Multichannel Z-Stack_20251205_119.npy,Control,324
5_KONTROLA_21_Multichannel Z-Stack_20251205_129.npy,Control,324
5_KONTROLA_21_Multichannel Z-Stack_20251205_130.npy,Control,324
5_KONTROLA_22_Multichannel Z-Stack_20251205_131.npy,Control,324
5_KONTROLA_23_Multichannel Z-Stack_20251205_132.npy,Control,324
5_KONTROLA_24_Multichannel Z-Stack_20251205_133.npy,Control,324
5_KONTROLA_25_Multichannel Z-Stack_20251205_134.npy,Control,324
5_KONTROLA_26_Multichannel Z-Stack_20251205_135.npy,Control,324
5_KONTROLA_27_Multichannel Z-Stack_20251205_136.npy,Control,324
5_KONTROLA_28_Multichannel Z-Stack_20251205_137.npy,Control,324
5_KONTROLA_29_Multichannel Z-Stack_20251205_138.npy,Control,324
5_KONTROLA_2_Multichannel Z-Stack_20251205_120.npy,Control,324
5_KONTROLA_30_Multichannel Z-Stack_20251205_139.npy,Control,324
5_KONTROLA_3_Multichannel Z-Stack_20251205_121.npy,Control,324
5_KONTROLA_4_Multichannel Z-Stack_20251205_122.npy,Control,324
5_KONTROLA_5_Multichannel Z-Stack_20251205_123.npy,Control,324
5_KONTROLA_6_Multichannel Z-Stack_20251205_124.npy,Control,324
5_KONTROLA_7_Multichannel Z-Stack_20251205_125.npy,Control,324
5_KONTROLA_8_Multichannel Z-Stack_20251205_126.npy,Control,324
5_KONTROLA_9_Multichannel Z-Stack_20251205_127.npy,Control,324
5_KONTROLA_A_72HOD_10_Multichannel Z-Stack_20251213_495.npy,Control | 72h,324
5_KONTROLA_A_72HOD_1_Multichannel Z-Stack_20251213_486.npy,Control | 72h,324
5_KONTROLA_A_72HOD_2_Multichannel Z-Stack_20251213_487.npy,Control | 72h,324
5_KONTROLA_A_72HOD_3_Multichannel Z-Stack_20251213_488.npy,Control | 72h,324
5_KONTROLA_A_72HOD_4_Multichannel Z-Stack_20251213_489.npy,Control | 72h,324
5_KONTROLA_A_72HOD_5_Multichannel Z-Stack_20251213_490.npy,Control | 72h,324
5_KONTROLA_A_72HOD_6_Multichannel Z-Stack_20251213_491.npy,Control | 72h,324
5_KONTROLA_A_72HOD_7_Multichannel Z-Stack_20251213_492.npy,Control | 72h,324
5_KONTROLA_A_72HOD_8_Multichannel Z-Stack_20251213_493.npy,Control | 72h,324
5_KONTROLA_A_72HOD_9_Multichannel Z-Stack_20251213_494.npy,Control | 72h,324
5_KONTROLA_WO_10_Multichannel Z-Stack_20251205_149.npy,Control,324
5_KONTROLA_WO_11_Multichannel Z-Stack_20251205_150.npy,Control,324
5_KONTROLA_WO_1_Multichannel Z-Stack_20251205_140.npy,Control,324
5_KONTROLA_WO_2_Multichannel Z-Stack_20251205_141.npy,Control,324
5_KONTROLA_WO_3_Multichannel Z-Stack_20251205_142.npy,Control,324
5_KONTROLA_WO_48HOD_10_Multichannel Z-Stack_20251213_423.npy,Control | 48h,324
5_KONTROLA_WO_48HOD_1_Multichannel Z-Stack_20251213_414.npy,Control | 48h,324
5_KONTROLA_WO_48HOD_2_Multichannel Z-Stack_20251213_415.npy,Control | 48h,324
5_KONTROLA_WO_48HOD_3_Multichannel Z-Stack_20251213_416.npy,Control | 48h,324
5_KONTROLA_WO_48HOD_4_Multichannel Z-Stack_20251213_417.npy,Control | 48h,324
5_KONTROLA_WO_48HOD_5_Multichannel Z-Stack_20251213_418.npy,Control | 48h,324
5_KONTROLA_WO_48HOD_6_Multichannel Z-Stack_20251213_419.npy,Control | 48h,324
5_KONTROLA_WO_48HOD_7_Multichannel Z-Stack_20251213_420.npy,Control | 48h,324
5_KONTROLA_WO_48HOD_8_Multichannel Z-Stack_20251213_421.npy,Control | 48h,324
5_KONTROLA_WO_48HOD_9_Multichannel Z-Stack_20251213_422.npy,Control | 48h,324
5_KONTROLA_WO_48hod_10_Multichannel Z-Stack_20251208_219.npy,Control | 48h,324
5_KONTROLA_WO_48hod_1A_Multichannel Z-Stack_20251208_210.npy,Control | 48h,324
5_KONTROLA_WO_48hod_1_Multichannel Z-Stack_20251208_209.npy,Control | 48h,324
5_KONTROLA_WO_48hod_2_Multichannel Z-Stack_20251208_211.npy,Control | 48h,324
5_KONTROLA_WO_48hod_3_Multichannel Z-Stack_20251208_212.npy,Control | 48h,324
5_KONTROLA_WO_48hod_4_Multichannel Z-Stack_20251208_213.npy,Control | 48h,324
5_KONTROLA_WO_48hod_5_Multichannel Z-Stack_20251208_214.npy,Control | 48h,324
5_KONTROLA_WO_48hod_6_Multichannel Z-Stack_20251208_215.npy,Control | 48h,324
5_KONTROLA_WO_48hod_7_Multichannel Z-Stack_20251208_216.npy,Control | 48h,324
5_KONTROLA_WO_48hod_8_Multichannel Z-Stack_20251208_217.npy,Control | 48h,324
5_KONTROLA_WO_48hod_9_Multichannel Z-Stack_20251208_218.npy,Control | 48h,324
5_KONTROLA_WO_4_Multichannel Z-Stack_20251205_143.npy,Control,324
5_KONTROLA_WO_5_Multichannel Z-Stack_20251205_144.npy,Control,324
5_KONTROLA_WO_6_Multichannel Z-Stack_20251205_145.npy,Control,324
5_KONTROLA_WO_7_Multichannel Z-Stack_20251205_146.npy,Control,324
5_KONTROLA_WO_8_Multichannel Z-Stack_20251205_147.npy,Control,324
5_KONTROLA_WO_9_Multichannel Z-Stack_20251205_148.npy,Control,324
5_PSI1H10UM_WO_48HOD_10_Multichannel Z-Stack_20251213_453.npy,Psilocin | 10 uM | 48h | 1h pulse,324
5_PSI1H10UM_WO_48HOD_1_Multichannel Z-Stack_20251213_444.npy,Psilocin | 10 uM | 48h | 1h pulse,324
5_PSI1H10UM_WO_48HOD_2_Multichannel Z-Stack_20251213_445.npy,Psilocin | 10 uM | 48h | 1h pulse,324
5_PSI1H10UM_WO_48HOD_3_Multichannel Z-Stack_20251213_446.npy,Psilocin | 10 uM | 48h | 1h pulse,324
5_PSI1H10UM_WO_48HOD_4_Multichannel Z-Stack_20251213_447.npy,Psilocin | 10 uM | 48h | 1h pulse,324
5_PSI1H10UM_WO_48HOD_5_Multichannel Z-Stack_20251213_448.npy,Psilocin | 10 uM | 48h | 1h pulse,324
5_PSI1H10UM_WO_48HOD_6_Multichannel Z-Stack_20251213_449.npy,Psilocin | 10 uM | 48h | 1h pulse,324
5_PSI1H10UM_WO_48HOD_7_Multichannel Z-Stack_20251213_450.npy,Psilocin | 10 uM | 48h | 1h pulse,324
5_PSI1H10UM_WO_48HOD_8_Multichannel Z-Stack_20251213_451.npy,Psilocin | 10 uM | 48h | 1h pulse,324
5_PSI1H10UM_WO_48HOD_9_Multichannel Z-Stack_20251213_452.npy,Psilocin | 10 uM | 48h | 1h pulse,324
5_PSI1h10uM_WO_24hod_10_Multichannel Z-Stack_20251205_172.npy,Psilocin | 10 uM | 24h | 1h pulse,324
5_PSI1h10uM_WO_24hod_1_Multichannel Z-Stack_20251205_162.npy,Psilocin | 10 uM | 24h | 1h pulse,324
5_PSI1h10uM_WO_24hod_2_Multichannel Z-Stack_20251205_163.npy,Psilocin | 10 uM | 24h | 1h pulse,324
5_PSI1h10uM_WO_24hod_3_Multichannel Z-Stack_20251205_164.npy,Psilocin | 10 uM | 24h | 1h pulse,324
5_PSI1h10uM_WO_24hod_4_Multichannel Z-Stack_20251205_165.npy,Psilocin | 10 uM | 24h | 1h pulse,324
5_PSI1h10uM_WO_24hod_5_Multichannel Z-Stack_20251205_166.npy,Psilocin | 10 uM | 24h | 1h pulse,324
5_PSI1h10uM_WO_24hod_6_Multichannel Z-Stack_20251205_167.npy,Psilocin | 10 uM | 24h | 1h pulse,324
5_PSI1h10uM_WO_24hod_7_Multichannel Z-Stack_20251205_168.npy,Psilocin | 10 uM | 24h | 1h pulse,324
5_PSI1h10uM_WO_24hod_8_Multichannel Z-Stack_20251205_169.npy,Psilocin | 10 uM | 24h | 1h pulse,324
5_PSI1h10uM_WO_24hod_9_Multichannel Z-Stack_20251205_170.npy,Psilocin | 10 uM | 24h | 1h pulse,324
5_PSI1h10uM_WO_24hod_9_Multichannel Z-Stack_20251205_171.npy,Psilocin | 10 uM | 24h | 1h pulse,324
5_PSI1h10uM_WO_48hod_10_Multichannel Z-Stack_20251208_250.npy,Psilocin | 10 uM | 48h | 1h pulse,324
5_PSI1h10uM_WO_48hod_3_Multichannel Z-Stack_20251208_243.npy,Psilocin | 10 uM | 48h | 1h pulse,324
5_PSI1h10uM_WO_48hod_4_Multichannel Z-Stack_20251208_244.npy,Psilocin | 10 uM | 48h | 1h pulse,324
5_PSI1h10uM_WO_48hod_5_Multichannel Z-Stack_20251208_245.npy,Psilocin | 10 uM | 48h | 1h pulse,324
